Activity Type,Date,Favorite,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-06-07 16:10:43,False,13.72,"1,042",01:08:08,165,191,4.4,147,165,4:58,4:08,45,46,1.37,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,00:08.40,16,0.0,01:07:04,01:16:03,18,56
Running,2021-06-01 17:32:47,False,5.47,423,00:28:53,152,169,3.2,146,154,5:17,4:29,26,28,1.3,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,02:30.17,6,0.0,00:28:49,00:29:28,25,56
Running,2021-05-30 17:29:19,False,7.01,522,00:32:41,166,182,3.8,150,210,4:40,3:55,35,35,1.43,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,00:01.94,8,0.0,00:32:34,00:35:15,23,57
Running,2021-05-28 18:04:50,False,8.07,635,00:41:26,159,175,3.8,148,156,5:08,4:16,36,36,1.32,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,00:26.18,9,0.0,00:41:16,00:41:50,23,58
Running,2021-05-26 18:24:09,False,8.21,655,00:40:49,166,182,4.2,147,157,4:58,4:02,32,35,1.37,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,01:04.47,9,0.0,00:40:34,00:46:19,20,57
Running,2021-05-20 17:22:22,False,8.02,640,00:40:26,164,183,4.0,148,156,5:02,4:11,33,34,1.34,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,00:05.62,9,0.0,00:40:07,00:40:45,23,57
Running,2021-05-18 15:50:51,False,10.44,808,00:54:12,157,170,3.8,149,158,5:11,4:39,68,67,1.29,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,02:19.66,11,0.0,00:53:57,00:54:49,26,67
Running,2021-05-14 17:21:40,False,5.52,439,00:29:14,156,180,3.3,146,155,5:18,4:38,30,31,1.29,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,01:17.05,7,0.0,00:29:10,00:29:19,25,56
Running,2021-05-12 17:07:55,False,7.01,516,00:34:13,157,195,3.7,149,156,4:53,4:09,37,38,1.37,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,00:01.60,8,0.0,00:34:11,00:34:13,23,57
Running,2021-05-10 17:19:37,False,5.47,383,00:26:49,151,174,3.1,147,156,4:54,4:17,29,32,1.38,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,02:19.16,6,0.0,00:26:34,00:27:14,26,58
Running,2021-05-08 13:53:36,False,8.25,634,00:40:03,166,196,4.2,151,157,4:51,4:00,41,40,1.36,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,01:13.03,9,0.0,00:39:59,00:40:03,39,60
Running,2021-05-05 16:54:42,False,5.43,398,00:30:35,144,166,2.7,147,156,5:38,4:34,34,35,1.21,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,02:36.29,6,0.0,00:30:27,00:32:10,25,59
Running,2021-05-04 17:23:17,False,5.45,410,00:26:50,160,195,3.5,149,158,4:55,4:19,30,33,1.36,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,02:11.52,6,0.0,00:26:32,00:27:10,25,58
Running,2021-05-01 17:03:04,False,8.24,586,00:40:06,156,185,3.7,150,157,4:52,4:07,32,33,1.37,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,01:04.73,9,0.0,00:39:57,00:40:21,18,52
Running,2021-04-29 16:47:25,False,5.49,403,00:26:58,156,180,3.4,148,155,4:55,4:18,28,31,1.38,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,02:27.20,6,0.0,00:26:46,00:27:05,25,59
Running,2021-04-26 17:06:00,False,5.49,378,00:25:43,155,180,3.5,148,159,4:41,4:03,35,37,1.44,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,02:12.43,6,0.0,00:25:25,00:26:59,25,58
Running,2021-04-24 15:04:55,False,5.45,394,00:25:44,161,178,3.5,149,158,4:44,4:16,34,34,1.43,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,01:59.93,6,0.0,00:25:30,00:26:06,25,59
Running,2021-04-22 15:18:36,False,9.0,712,00:47:00,--,--,--,--,--,5:13,--,--,--,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,00:00.00,1,0.0,00:00:00,00:00:00,--,--
Running,2021-04-20 16:59:04,False,5.49,405,00:26:24,160,175,3.6,147,155,4:49,4:20,31,31,1.42,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,02:18.87,6,0.0,00:26:17,00:26:30,26,58
Running,2021-04-18 16:50:31,False,5.48,426,00:28:25,156,169,3.5,148,156,5:11,4:27,29,33,1.31,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,02:32.46,6,0.0,00:28:23,00:28:25,26,58
Running,2021-04-16 16:40:00,True,7.01,513,00:32:48,164,179,3.9,149,156,4:41,4:10,36,33,1.43,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,00:01.95,8,0.0,00:32:47,00:32:53,23,57
Running,2021-04-13 17:30:35,False,5.49,403,00:25:57,162,176,3.5,149,158,4:44,4:00,27,29,1.42,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,00:06.52,7,0.0,00:25:54,00:25:57,25,57
Running,2021-04-11 16:22:50,False,5.46,408,00:29:24,146,165,3.1,148,156,5:23,4:48,35,40,1.26,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,02:22.74,6,0.0,00:29:23,00:29:24,25,59
Running,2021-04-10 10:58:36,False,5.42,423,00:26:06,168,182,3.7,149,165,4:49,4:10,36,33,1.39,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,01:56.59,6,0.0,00:26:00,00:26:22,25,58
Running,2021-04-08 18:05:54,False,5.47,407,00:27:35,155,178,3.5,146,153,5:02,4:13,32,32,1.36,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,02:24.04,6,0.0,00:27:31,00:27:45,26,59
Running,2021-04-05 15:58:51,False,5.19,400,00:30:36,145,166,2.7,145,169,5:53,3:26,41,42,1.17,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,00:55.25,6,0.0,00:30:23,00:32:49,26,59
Running,2021-04-03 15:13:38,False,6.48,507,00:35:15,153,164,3.4,148,156,5:26,4:42,37,36,1.24,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,02:35.77,7,0.0,00:35:08,00:35:19,25,58
Running,2021-03-27 12:28:35,False,5.45,421,00:27:39,159,171,3.4,147,155,5:04,4:26,34,34,1.34,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,02:19.95,6,0.0,00:27:26,00:27:54,25,58
Running,2021-03-26 16:37:40,False,7.01,526,00:33:41,163,178,3.9,148,156,4:48,4:21,26,28,1.41,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,00:01.73,8,0.0,00:33:26,00:33:59,22,52
Running,2021-03-23 17:02:38,False,5.44,390,00:26:07,158,174,3.3,150,157,4:48,4:17,37,36,1.39,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,02:10.55,6,0.0,00:26:06,00:26:15,25,58
Running,2021-03-20 15:55:27,False,8.04,615,00:38:34,166,179,4.2,149,156,4:48,4:13,52,56,1.4,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,00:13.46,9,0.0,00:38:29,00:38:45,29,59
Running,2021-03-18 16:42:01,False,7.01,515,00:33:59,160,183,3.8,150,160,4:51,4:12,31,34,1.37,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,00:01.42,8,0.0,00:33:52,00:33:59,23,57
Running,2021-03-15 17:16:44,False,5.38,392,00:26:06,158,175,3.5,148,157,4:51,4:27,28,29,1.39,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,01:52.55,6,0.0,00:26:03,00:26:34,25,57
Running,2021-03-14 17:02:00,False,5.48,383,00:25:50,159,177,3.5,152,161,4:43,4:05,29,32,1.4,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,02:16.85,6,0.0,00:25:48,00:25:50,26,58
Running,2021-03-11 16:52:33,False,5.46,415,00:26:40,164,181,3.6,150,155,4:53,4:25,34,35,1.37,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,02:20.92,6,0.0,00:26:39,00:26:50,26,59
Running,2021-03-08 15:40:23,False,5.47,420,00:26:52,165,183,3.6,147,155,4:55,4:20,28,30,1.39,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0:00,No,02:20.13,6,0.0,00:26:47,00:27:02,26,58
